fp_id,area_m2,mean_height_m,max_height_m,osm_matched,osm_id,osm_tag,osm_name,osm_iou,osm_overlap_pct,category_estimated,description
168,284.28,5.1,8.9,False,NONE,,,0.0,0.0,SERA_SOLAR_ALUNGIT,"Structură provizorie (SERA_SOLAR_ALUNGIT, 5.5x63.1m)"
169,282.61,16.4,18.1,True,188111236,office,,0.4277,67.7,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=188111236, tag=office)"
171,273.07,5.0,8.7,False,310374393,residential,,0.0202,5.9,CLADIRE_POTENTIALA_SAU_VEGETATIE_DENSA,"Corp izolat în campus/curte (273.1 mp, H=5.0m)"
172,272.92,5.9,7.8,True,275159806,yes,,0.3887,90.1,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=275159806, tag=yes)"
175,270.48,4.5,9.2,True,275157457,yes,,0.3162,85.1,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=275157457, tag=yes)"
177,267.69,4.4,7.6,True,310374415,residential,,0.7096,90.3,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=310374415, tag=residential)"
184,258.94,7.6,10.9,True,276735471,house,,0.4442,88.3,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=276735471, tag=house)"
185,256.15,6.8,12.2,True,275157487,detached,,0.5524,86.9,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=275157487, tag=detached)"
196,234.23,5.4,10.8,True,276735443,house,,0.4529,94.0,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=276735443, tag=house)"
198,231.8,4.0,7.8,True,276735495,house,,0.4746,92.1,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=276735495, tag=house)"
199,230.58,7.0,12.2,True,316635709,house,,0.6473,83.4,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=316635709, tag=house)"
205,224.9,5.4,16.6,True,276735543,house,,0.5094,90.0,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=276735543, tag=house)"
206,219.37,8.7,13.4,True,275159854,retail,,0.5823,79.4,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=275159854, tag=retail)"
214,207.88,5.8,8.8,True,275159820,yes,Clinica Iris,0.5728,80.7,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=275159820, tag=yes)"
221,195.81,4.7,5.0,True,701516659,greenhouse,,0.3216,74.6,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=701516659, tag=greenhouse)"
225,192.18,4.8,7.7,False,NONE,,,0.0,0.0,SERA_SOLAR_ALUNGIT,"Structură provizorie (SERA_SOLAR_ALUNGIT, 8.0x29.1m)"
226,191.24,8.6,11.0,True,275159817,yes,,0.3746,65.0,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=275159817, tag=yes)"
227,189.93,7.5,10.2,True,276735428,house,,0.5123,74.1,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=276735428, tag=house)"
