ref_id,pred_id,matched,iou,boundary_rmse_m,hausdorff_m,centroid_disp_m,area_ref_m2,area_pred_m2,area_error_m2,area_error_pct,perimeter_ref_m,perimeter_pred_m,mean_angle_dev_deg,compliance_tier,error_flags
NONE (ARTEFACT),164,False,0.0000,0.000,0.000,0.000,0.00,294.03,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),168,False,0.0000,0.000,0.000,0.000,0.00,284.28,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),169,False,0.0000,0.000,0.000,0.000,0.00,282.61,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),171,False,0.0000,0.000,0.000,0.000,0.00,273.07,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),172,False,0.0000,0.000,0.000,0.000,0.00,272.92,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),175,False,0.0000,0.000,0.000,0.000,0.00,270.48,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),177,False,0.0000,0.000,0.000,0.000,0.00,267.69,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),184,False,0.0000,0.000,0.000,0.000,0.00,258.94,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),185,False,0.0000,0.000,0.000,0.000,0.00,256.15,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),196,False,0.0000,0.000,0.000,0.000,0.00,234.23,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),198,False,0.0000,0.000,0.000,0.000,0.00,231.80,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),199,False,0.0000,0.000,0.000,0.000,0.00,230.58,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),205,False,0.0000,0.000,0.000,0.000,0.00,224.90,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),206,False,0.0000,0.000,0.000,0.000,0.00,219.37,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),211,False,0.0000,0.000,0.000,0.000,0.00,210.23,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),214,False,0.0000,0.000,0.000,0.000,0.00,207.88,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),221,False,0.0000,0.000,0.000,0.000,0.00,195.81,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),225,False,0.0000,0.000,0.000,0.000,0.00,192.18,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),226,False,0.0000,0.000,0.000,0.000,0.00,191.24,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),227,False,0.0000,0.000,0.000,0.000,0.00,189.93,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),232,False,0.0000,0.000,0.000,0.000,0.00,180.31,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),235,False,0.0000,0.000,0.000,0.000,0.00,178.06,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),237,False,0.0000,0.000,0.000,0.000,0.00,176.07,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),239,False,0.0000,0.000,0.000,0.000,0.00,175.25,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
