ref_id,pred_id,matched,iou,boundary_rmse_m,hausdorff_m,centroid_disp_m,area_ref_m2,area_pred_m2,area_error_m2,area_error_pct,perimeter_ref_m,perimeter_pred_m,mean_angle_dev_deg,compliance_tier,error_flags
NONE (ARTEFACT),LIDAR_020,False,0.0000,0.000,0.000,0.000,0.00,78.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_021,False,0.0000,0.000,0.000,0.000,0.00,153.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_022,False,0.0000,0.000,0.000,0.000,0.00,2034.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_023,False,0.0000,0.000,0.000,0.000,0.00,1741.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_024,False,0.0000,0.000,0.000,0.000,0.00,653.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_025,False,0.0000,0.000,0.000,0.000,0.00,23.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_026,False,0.0000,0.000,0.000,0.000,0.00,89.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_027,False,0.0000,0.000,0.000,0.000,0.00,75.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_028,False,0.0000,0.000,0.000,0.000,0.00,603.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_029,False,0.0000,0.000,0.000,0.000,0.00,1760.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_030,False,0.0000,0.000,0.000,0.000,0.00,31.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
